"","VALUE","Freq","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",11,162340,"Open Water",0,0,255,0,0,1,36104,2
"2",13,54075,"Developed-Upland Deciduous Forest",64,61,168,0.25098,0.239216,0.658824,12026,0.7
"3",14,56739,"Developed-Upland Evergreen Forest",68,79,137,0.266667,0.309804,0.537255,12618,0.7
"4",15,36348,"Developed-Upland Mixed Forest",102,119,205,0.4,0.466667,0.803922,8084,0.5
"5",16,16742,"Developed-Upland Herbaceous",122,142,245,0.478431,0.556863,0.960784,3723,0.2
"6",17,7029,"Developed-Upland Shrubland",158,170,215,0.619608,0.666667,0.843137,1563,0.1
"7",22,20613,"Developed - Low Intensity",255,122,143,1,0.478431,0.560784,4584,0.3
"8",23,7167,"Developed - Medium Intensity",253,44,79,0.992157,0.172549,0.309804,1594,0.1
"9",24,2041,"Developed - High Intensity",173,0,28,0.678431,0,0.109804,454,0
"10",25,192246,"Developed-Roads",1,1,1,0.003921,0.003921,0.003921,42754,2.4
"11",31,378,"Barren",191,191,191,0.74902,0.74902,0.74902,84,0
"12",32,747,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",230,232,250,0.901961,0.909804,0.980392,166,0
"13",63,11173,"NASS-Row Crop-Close Grown Crop",255,245,140,1,0.960784,0.54902,2485,0.1
"14",64,3835,"NASS-Row Crop",250,255,119,0.980392,1,0.466667,853,0
"15",65,31752,"NASS-Close Grown Crop",255,237,119,1,0.929412,0.466667,7061,0.4
"16",68,432,"NASS-Wheat",250,227,163,0.980392,0.890196,0.639216,96,0
"17",69,62,"NASS-Aquaculture",210,255,237,0.823529,1,0.929412,14,0
"18",101,2,"Tree Height = 1 meter",204,255,153,0.8,1,0.6,0,0
"19",102,3,"Tree Height = 2 meters",199,250,147,0.780392,0.980392,0.576471,1,0
"20",103,2029,"Tree Height = 3 meters",192,245,142,0.752941,0.960784,0.556863,451,0
"21",104,106,"Tree Height = 4 meters",188,242,138,0.737255,0.94902,0.541176,24,0
"22",105,310,"Tree Height = 5 meters",181,237,133,0.709804,0.929412,0.521569,69,0
"23",106,1191,"Tree Height = 6 meters",178,235,129,0.698039,0.921569,0.505882,265,0
"24",107,6233,"Tree Height = 7 meters",171,230,124,0.670588,0.901961,0.486275,1386,0.1
"25",108,54273,"Tree Height = 8 meters",168,227,120,0.658824,0.890196,0.470588,12070,0.7
"26",109,50453,"Tree Height = 9 meters",160,222,113,0.627451,0.870588,0.443137,11220,0.6
"27",110,105168,"Tree Height = 10 meters",155,219,110,0.607843,0.858824,0.431373,23389,1.3
"28",111,205328,"Tree Height = 11 meters",150,214,105,0.588235,0.839216,0.411765,45664,2.5
"29",112,349415,"Tree Height = 12 meters",146,212,102,0.572549,0.831373,0.4,77708,4.3
"30",113,523370,"Tree Height = 13 meters",141,207,97,0.552941,0.811765,0.380392,116395,6.5
"31",114,712716,"Tree Height = 14 meters",136,204,94,0.533333,0.8,0.368627,158504,8.8
"32",115,892618,"Tree Height = 15 meters",131,199,90,0.513725,0.780392,0.352941,198513,11.1
"33",116,931503,"Tree Height = 16 meters",127,196,86,0.498039,0.768627,0.337255,207161,11.5
"34",117,834173,"Tree Height = 17 meters",119,191,80,0.466667,0.74902,0.313725,185516,10.3
"35",118,925159,"Tree Height = 18 meters",116,189,77,0.454902,0.741176,0.301961,205750,11.5
"36",119,508789,"Tree Height = 19 meters",110,184,73,0.431373,0.721569,0.286275,113152,6.3
"37",120,331352,"Tree Height = 20 meters",107,181,71,0.419608,0.709804,0.278431,73691,4.1
"38",121,270688,"Tree Height = 21 meters",101,176,67,0.396078,0.690196,0.262745,60200,3.4
"39",122,179857,"Tree Height = 22 meters",99,173,64,0.388235,0.678431,0.25098,39999,2.2
"40",123,99050,"Tree Height = 23 meters",93,168,61,0.364706,0.658824,0.239216,22028,1.2
"41",124,54820,"Tree Height = 24 meters",87,166,56,0.341176,0.65098,0.219608,12192,0.7
"42",203,46,"Shrub Height = 0.3 meter",209,166,117,0.819608,0.65098,0.458824,10,0
"43",204,1146,"Shrub Height = 0.4 meter",209,161,113,0.819608,0.631373,0.443137,255,0
"44",205,974,"Shrub Height = 0.5 meter",207,155,109,0.811765,0.607843,0.427451,217,0
"45",206,6367,"Shrub Height = 0.6 meter",207,149,105,0.811765,0.584314,0.411765,1416,0.1
"46",207,4431,"Shrub Height = 0.7 meter",204,145,102,0.8,0.568627,0.4,985,0.1
"47",208,13803,"Shrub Height = 0.8 meter",201,137,97,0.788235,0.537255,0.380392,3070,0.2
"48",209,4356,"Shrub Height = 0.9 meter",201,134,95,0.788235,0.52549,0.372549,969,0.1
"49",210,9185,"Shrub Height = 1 meter",199,126,90,0.780392,0.494118,0.352941,2043,0.1
"50",211,10035,"Shrub Height = 1.1 meters",196,121,86,0.768627,0.47451,0.337255,2232,0.1
"51",212,11971,"Shrub Height = 1.2 meters",196,115,82,0.768627,0.45098,0.321569,2662,0.1
"52",213,6934,"Shrub Height = 1.3 meters",194,110,79,0.760784,0.431373,0.309804,1542,0.1
"53",214,5437,"Shrub Height = 1.4 meters",191,105,77,0.74902,0.411765,0.301961,1209,0.1
"54",215,2504,"Shrub Height = 1.5 meters",191,100,73,0.74902,0.392157,0.286275,557,0
"55",216,2108,"Shrub Height = 1.6 meters",189,94,70,0.741176,0.368627,0.27451,469,0
"56",217,1442,"Shrub Height = 1.7 meters",186,89,67,0.729412,0.34902,0.262745,321,0
"57",218,1480,"Shrub Height = 1.8 meters",184,83,62,0.721569,0.32549,0.243137,329,0
"58",219,1062,"Shrub Height = 1.9 meters",184,79,61,0.721569,0.309804,0.239216,236,0
"59",220,1453,"Shrub Height = 2.0 meters",181,72,58,0.709804,0.282353,0.227451,323,0
"60",221,1077,"Shrub Height = 2.1 meters",179,68,55,0.701961,0.266667,0.215686,240,0
"61",222,1246,"Shrub Height = 2.2 meters",176,61,51,0.690196,0.239216,0.2,277,0
"62",223,1074,"Shrub Height = 2.3 meters",173,57,49,0.678431,0.223529,0.192157,239,0
"63",224,1483,"Shrub Height = 2.4 meters",173,51,47,0.678431,0.2,0.184314,330,0
"64",225,846,"Shrub Height = 2.5 meters",171,47,44,0.670588,0.184314,0.172549,188,0
"65",226,958,"Shrub Height = 2.6 meters",168,39,41,0.658824,0.152941,0.160784,213,0
"66",227,63,"Shrub Height = 2.7 meters",166,33,40,0.65098,0.129412,0.156863,14,0
"67",228,166,"Shrub Height = 2.8 meters",163,26,38,0.639216,0.101961,0.14902,37,0
"68",229,36,"Shrub Height = 2.9 meters",161,18,34,0.631373,0.070588,0.133333,8,0
"69",230,2,"Shrub Height >= 3.0 meters",158,0,32,0.619608,0,0.12549,0,0
"70",301,13665,"Herb Height = 0.1 meter",255,204,102,1,0.8,0.4,3039,0.2
"71",302,16171,"Herb Height = 0.2 meter",255,186,89,1,0.729412,0.34902,3596,0.2
"72",303,66041,"Herb Height = 0.3 meter",255,169,77,1,0.662745,0.301961,14687,0.8
"73",304,692,"Herb Height = 0.4 meter",255,150,64,1,0.588235,0.25098,154,0
"74",305,3934,"Herb Height = 0.5 meter",255,133,51,1,0.521569,0.2,875,0
"75",306,35155,"Herb Height = 0.6 meter",255,112,41,1,0.439216,0.160784,7818,0.4
"76",307,53211,"Herb Height = 0.7 meter",255,92,28,1,0.360784,0.109804,11834,0.7
"77",308,59237,"Herb Height = 0.8 meter",255,73,18,1,0.286275,0.070588,13174,0.7
"78",309,35646,"Herb Height = 0.9 meter",255,51,0,1,0.2,0,7927,0.4
"79",310,55450,"Herb Height >= 1 meter",255,51,0,1,0.2,0,12332,0.7
